feature,value
15x19,0.028529275570095745
15x20,0.011053564367640038
15x21,0.0008555887858174577
15x22,0.003703976630534965
15x23,0.00474565340856378
15x24,0.0039005114221949133
15x25,1.6821397964956498e-05
15x26,1.498743394283415e-07
15x27,1.3908375403752931e-07
15x28,1.1058360269496608e-07
16x1,1.4622589819652586e-07
16x2,1.4983946691741394e-07
16x3,3.095693789653113e-07
16x4,3.9263912783723824e-07
16x5,1.3178753054138116e-05
16x6,0.0010310490624048502
16x7,0.008739951434000913
16x8,0.04774810703568008
16x9,0.00603630945586269
16x10,0.023996012177651883
16x11,0.026722405000619884
16x12,0.0040119153902055
16x13,0.0502715109122473
16x14,0.06737163680947303
16x15,0.02827081064901912
16x16,0.002686224427367965
16x17,0.03157359927708417
16x18,0.02045746231065993
16x19,0.07262852355104521
16x20,0.017192897867346818
16x21,0.01029421534425327
16x22,0.006865397936741982
16x23,0.010077733295644495
16x24,0.001026250027227158
16x25,4.59368491567512e-06
16x26,6.730289825036036e-07
16x27,1.3423899031669062e-07
16x28,1.1486423037838681e-07
17x1,1.5895378451154418e-07
17x2,1.629388552622586e-07
17x3,2.825173454503533e-07
17x4,1.1504371634472114e-06
17x5,1.370281913586338e-05
17x6,0.001144191633386817
17x7,0.016315485043994004
17x8,0.008233895345864231
17x9,0.03577127679454721
17x10,0.010493874330572731
17x11,0.030410589511943326
17x12,0.04555173809335158
17x13,0.02626382036848385
17x14,0.050937327304209336
17x15,0.021171172528475682
17x16,0.028610523151929336
17x17,0.05501599720086843
17x18,0.023902452533121
17x19,0.030333351754101963
17x20,0.016751871168599868
17x21,0.008530298283087396
17x22,0.0012405735905179009
17x23,0.0015443283673225825
17x24,0.0002523246847199629
17x25,3.433725716278175e-05
17x26,3.39157733727301e-06
17x27,1.2771725796713532e-07
17x28,2.101382688011137e-07
18x1,1.2508541517302205e-07
18x2,1.6092452761602652e-07
18x3,8.833492170737206e-07
18x4,4.651907347341009e-06
18x5,4.62504268774492e-05
18x6,0.007130079895666565
18x7,0.01607982416112131
18x8,0.003656295330342051
18x9,0.015101113163165647
18x10,0.012683023999131062
18x11,0.04981752369448998
18x12,0.03200946723095261
18x13,0.017212253375628518
18x14,0.030242113869413032
18x15,0.030740032347363958
18x16,0.005218578855004046
18x17,0.00744750341280727
18x18,0.0014346973248547967
18x19,0.0008341618718070548
18x20,0.008271147670389209
18x21,0.009290214474119205
18x22,0.008615114345285786
18x23,0.003351582765542452
18x24,0.0020110300573045444
18x25,0.0001555232809925847
18x26,2.8893676788897527e-06
18x27,2.6190014136847084e-07
18x28,1.773441984022639e-07
19x1,1.3490721207773135e-07
19x2,3.391974475126597e-07
19x3,1.3302505306393186e-06
19x4,1.0577235895734004e-05
19x5,0.00049378903327639
19x6,0.0014126176196887403
19x7,0.040694389905849435
19x8,0.03502250734388963
19x9,0.011298167824713582
19x10,0.06773267955112415
19x11,0.05949226608116812
19x12,0.057511197475103526
19x13,0.03159259735620713
19x14,0.03569445520853915
19x15,0.01648868642708282
19x16,0.008097074253431777
19x17,0.008213931605059933
19x18,0.009457300123540895
19x19,0.006425473531435503
19x20,0.003667805110742332
19x21,0.002049454959597464
19x22,0.009447789777412528
19x23,0.0005787733706791838
19x24,0.00044071532988525057
19x25,0.00012007669778863992
19x26,1.7445742487473763e-06
19x27,2.5173404510325903e-07
19x28,1.151144996744195e-07
20x1,1.3449291691757597e-07
20x2,5.007148996274992e-07
20x3,3.805713181048753e-07
20x4,4.17190309144237e-06
20x5,0.00014556497022270482
20x6,0.00021143163543129755
20x7,0.004405023169058477
20x8,0.01005294602808557
20x9,0.011724914840193824
20x10,0.024740559241878124
20x11,0.03411970478563675
20x12,0.07999869640912119
20x13,0.005268977673393816
20x14,0.00652953341207904
20x15,0.0017969017117317266
20x16,0.003336318711752363
20x17,0.0035379530696571892
20x18,0.009878481612416095
20x19,0.02635461957857081
20x20,0.005231912124496979
20x21,0.011308312562691596
20x22,0.012707858478727187
20x23,0.008374097107480077
20x24,0.0005342332902651988
20x25,2.301963158749574e-05
20x26,1.4859079917623181e-06
20x27,1.3280796891552552e-06
20x28,9.182251983877528e-08
21x1,1.70795981650612e-07
